"RELEASE_NUMBER","INTERVIEW_ID","AGE","OCC_2010","HOURLY.REGULAR.RATE","YRS.PRES.EMP","WAGES","WTR.GRADUATED","YR.WRKED.FULLTIME","WORK.WEEKS","TOTAL.HOURS","COMPLETED.ED","SEX_1","SEX_2","RACE_1","RACE_2","RACE_3","RACE_4","RACE_5","RACE_7","RACE_9","CURRENT.REGION_1","CURRENT.REGION_2","CURRENT.REGION_3","CURRENT.REGION_4","CURRENT.REGION_5","CURRENT.REGION_6","YEAR_2017","YEAR_2019","occupation_des","soc_code"
2,4212,61,0,0,0,0,1,38,0,0,12,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4811,39,5350,0,0,30000,2,0,52,1560,12,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,8283,22,3420,12.5,0,30000,1,1,51,2244,12,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,5238,61,9130,15.5,24,39000,3,4,50,2250,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,7953,50,0,0,0,0,1,25,0,0,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,8738,35,4210,0,0,0,1,16,50,3500,12,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,3360,61,0,0,0,0,2,1,0,0,11,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,3359,27,6420,0,0,25000,3,0,38,1140,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,4260,81,0,0,0,0,2,30,0,0,14,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4959,52,3000,0,0,0,1,10,52,1554,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,4710,28,6420,22,2,35000,1,6,50,2076,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,3934,26,3600,14,1,35000,1,3,47,1868,13,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,3833,56,4320,0,0,0,1,5,52,5824,14,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,9208,49,7000,31,16,81782,1,6,50,2500,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,7897,45,2320,0,19,53000,1,23,41,2030,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,5744,32,2040,0,9,55000,1,5,49,3904,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,6005,82,0,0,0,0,1,32,0,0,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,5715,57,5620,13.75,39,18000,1,4,47,1880,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,6377,53,9130,26.3,8,67000,1,3,49,2556,13,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,7312,28,3000,0,1,35000,1,6,51,1530,16,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,6193,25,2200,30,2,22000,1,0,51,1928,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,5884,57,6660,0,0,70000,1,6,27,1365,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,6411,44,3710,0,17,135000,1,15,46,2070,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,5290,75,940,0,0,7000,1,24,14,592,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,5557,38,6260,16.5,0,35000,2,9,50,3000,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,4282,82,0,0,0,0,2,32,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,4452,59,9130,0,7,70000,3,9,50,3000,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,4300,56,0,0,0,0,2,6,0,0,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,7199,55,3700,0,12,83000,1,5,49,2160,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,6979,52,0,0,0,0,2,1,0,0,11,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
