ER72001,ER72002,ER72017,ER72018,ER72195,ER72217,ER72231,ER73069,ER76897,ER76962,ER77249,ER77255,ER77588,ER77591,ER77599
1,7607,42,1,4920,0,0,25000,1,9,51,3060,82274,3,17
1,5310,61,1,220,0,7,42000,1,30,42,1680,67696,3,12
1,9431,38,1,6330,20,3,500,1,15,10,200,61220,3,12
1,1336,23,2,3255,26.48,1,6000,1,2,30,888,58928.49,3,16
1,866,55,2,540,27,32,42777,1,19,44,1748,56016,3,14
1,335,60,1,700,0,33,78000,1,8,42,1456,66508,3,12
1,2331,35,1,840,0,0,32000,1,10,13,598,81308,1,17
1,1595,62,1,350,0,3,134000,1,5,48,2112,136630,1,16
1,1555,43,1,20,0,29,67000,1,16,51,3072,95361.23,1,12
1,52,71,2,0,0,0,0,1,19,0,0,27328,2,16
1,8486,43,1,0,0,0,0,1,0,0,0,40830,2,12
1,8413,26,1,7730,21.53,1,45000,1,2,51,2550,27091,2,12
1,4544,72,1,0,0,0,0,1,15,0,0,28650,2,16
1,647,73,1,0,0,0,0,1,15,0,0,25508,2,16
1,1202,44,1,7150,29.26,6,91600,1,20,50,2241,52820.96,2,14
1,3518,72,1,0,0,0,0,2,30,0,0,29034,3,12
1,3463,77,2,0,0,0,0,2,99,0,0,15056,3,12
1,3862,39,1,0,0,0,0,2,0,0,0,11963.51,3,9
1,6369,60,2,4810,12,2,53000,2,25,50,2001,19938,3,12
1,6420,44,2,4510,20,0,28000,2,4,52,1560,23790,3,12
1,5185,42,1,3730,16,1,41000,2,1,51,3100,52644,3,13
1,6749,27,2,4510,0,0,6000,2,0,52,1040,22450,3,13
1,4739,25,1,4020,12.5,4,22000,2,5,52,2444,57040,3,13
1,4639,23,2,5620,0,0,19000,2,0,39,2028,21454,3,12
1,8672,45,1,8220,17,8,40000,2,10,52,2080,57097.27,3,12
1,6744,40,2,2145,0,0,9999999,9,18,40,1600,24075.5,3,14
1,6536,39,1,9130,17,5,35000,2,99,52,2080,30210,3,11
1,6153,36,2,3600,18,5,38000,2,16,51,2467,34912,3,13
1,8287,41,1,4760,0,12,48000,2,16,51,2550,21620,3,12
1,4860,91,1,0,0,0,0,2,38,0,0,42927.23,3,14
1,8990,29,1,4010,48,4,50000,1,8,39,3900,62990.54,3,12
1,4788,27,1,4120,11,11,27456,2,0,48,2459,45434.69,3,13
1,8625,70,1,7140,24.25,15,64000,2,48,40,4320,122498.17,4,14
1,8403,54,2,3500,24,0,186000,2,10,52,4264,42532,3,14
1,9462,21,1,5510,0,0,0,1,0,0,0,40040,2,15
1,965,76,1,2110,0,19,13500,1,25,52,1040,42865.91,1,17
1,1210,41,1,3820,34.24,15,86000,1,11,47,2330,62028,1,14
1,874,46,1,3710,0,22,74000,1,2,48,2016,66876,1,14
1,6532,62,1,4220,0,7,30000,1,11,30,1485,55160,1,12
1,7946,72,1,0,0,0,0,1,14,0,0,40270,1,17
1,9354,21,1,4110,4.75,1,36000,1,3,50,2976,36320,3,14
1,9075,43,1,10,0,0,165000,1,4,48,2880,104097.47,1,16
1,1832,51,1,2320,0,0,6000,1,7,13,130,116859.76,2,17
1,1393,58,1,136,0,12,9999999,1,35,50,2108,57102,2,16
1,2506,41,1,3400,0,0,42000,1,23,51,3060,113800,2,16
1,1009,79,1,0,0,0,0,1,39,0,0,54522,2,12
1,1020,40,1,1010,0,17,9999999,1,20,49,2470,90921.41,3,16
1,6205,64,1,20,0,9,135000,1,6,49,2214,155470,3,17
1,6796,61,1,7020,31.82,35,82345,1,6,45,2250,99880,3,16
1,8064,31,1,6250,20,0,23000,1,0,51,1542,58470,3,13
1,6999,26,1,430,0,3,32000,1,1,45,1822,44010,4,17
1,6362,60,1,2100,0,4,439480,1,32,50,3000,99551,3,17
1,9153,25,1,800,0,4,52000,1,2,51,2040,37940,3,17
1,5346,38,1,2310,0,0,1000,1,14,6,182,32985,3,16
1,9275,51,2,2200,0,12,150000,1,6,51,3060,129140.49,1,17
1,4568,46,1,3910,39.8,21,89000,1,7,51,2130,69860,2,16
1,9566,46,1,0,0,0,0,1,12,0,0,25530,2,12
1,2872,31,1,9620,13.25,3,18000,1,5,52,1820,12170,2,11
1,2827,58,1,3930,15,2,35000,1,10,50,2000,28842,2,12
1,6786,43,2,5100,16.5,1,40000,1,15,52,2340,52780.47,2,16
1,7202,66,1,9140,12.39,1,14000,1,13,51,1122,67127.81,2,16
1,9363,47,1,4210,0,0,0,1,26,50,2610,115214,2,14
1,5896,45,1,2320,0,19,74000,1,99,48,2544,90460,2,17
1,2959,85,1,0,0,0,0,1,27,0,0,56920.73,2,16
